MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
538007181,2024-01-01T00:34:50,32.59384,-118.33451,10.8,253.3,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:43:52,32.58749,-118.36472,10.4,255.4,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:47:29,32.58493,-118.37687,10.3,256.9,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:49:49,32.58336,-118.38458,10.5,254.8,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:48:41,32.58412,-118.38081,10.5,252.8,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:54:31,32.58017,-118.4008,10.8,257.0,256.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:51:01,32.58259,-118.38858,10.4,257.8,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:56:50,32.5787,-118.40862,10.9,254.5,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:53:20,32.58096,-118.39671,10.7,257.6,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:55:40,32.57947,-118.40459,11.0,261.9,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T01:02:10,32.57519,-118.42738,10.9,260.5,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T01:00:10,32.57651,-118.42037,10.8,259.5,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T01:04:31,32.57367,-118.43531,11.0,258.2,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:52:11,32.58175,-118.39282,10.6,258.5,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T01:05:40,32.57294,-118.43938,10.9,257.9,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T00:59:10,32.57712,-118.41688,10.7,258.9,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
538007181,2024-01-01T01:09:09,32.57067,-118.45135,10.2,257.2,255.0,LEICESTER,IMO9792266,V7XE6,80.0,0.0,333.0,60.0,13.7,80.0,A
